,headlines,text,source,link
6980,US rapper A$AP Rocky released from jail in Sweden,"American rapper A$AP Rocky was released from prison in Sweden and allowed to return to the US while the verdict on his assault case is awaited. The rapper, whose real name is Rakim Mayers, was accused of beating a 19-year-old man in Stockholm last month. US President Donald Trump had urged Swedish PM to work on the rapper's release.",Deutsche Welle,https://www.dw.com/en/us-rapper-aap-rocky-released-from-swedish-jail/a-49874491?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6983,"Neesham tries trolling Kohli after Burns slams ton, gets trolled back","New Zealand all-rounder Jimmy Neesham was trolled on Twitter after he mocked Team India captain Virat Kohli following England opener Rory Burns' maiden Test and Ashes hundred. ""Burns now has more runs in his first Ashes innings than Kohli has in his entire Ashes career,"" Neesham wrote. ""That's probably the least funny thing you've ever tweeted,"" a user tweeted.",CricTracker,https://www.crictracker.com/jimmy-neesham-takes-hilarious-dig-at-virat-kohli-after-rory-burns-century/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6984,"FB starts adding its name to Instagram, may do so on WhatsApp too","Facebook has begun adding its name to some screens on its photo-sharing platform Instagram and will reportedly do so on WhatsApp as well. ""We want to be clearer about the products and services that are part of Facebook,"" the social media giant said. The 'Instagram from Facebook' rebranding was first spotted by reverse-engineering specialist Jane Manchun Wong in March.",Reuters,https://in.reuters.com/article/facebook-instagram/facebook-begins-adding-its-name-to-some-screens-on-instagram-idINKCN1UT011?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6987,"Maruti Suzuki cuts 1,181 temporary jobs in 6 months as sales fall","India's biggest automaker Maruti Suzuki said it employed 18,845 temporary workers on average in the six months ended June 30, down 6% or 1,181 from the same period last year. Chairman RC Bhargava said the workforce was being reduced to reflect the slowdown in auto sales, adding that this was one reason carmakers liked to have some temporary workers.",Reuters,https://in.reuters.com/article/us-maruti-suzuki-in-jobs-exclusive/exclusive-indias-biggest-carmaker-maruti-suzuki-cuts-temporary-jobs-as-sales-plunge-idINKCN1US1ZL?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6988,Lyft admits its response to sexual harassment has 'fallen short',"US ride-hailing giant Lyft has acknowledged that it has ""fallen short"" in response to sexual harassment complaints on several instances, The Washington Post revealed. In one instance, Lyft blamed a user for sharing her number with a driver when she complained of unprofessional behaviour. ""The fact that you did (share your number) limits the consequences on the driver,"" Lyft said.",Engadget,https://www.engadget.com/2019/08/02/lyft-sexual-harassment-response/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6989,WeWork may get $6 bn funding if it raises at least $3 bn in IPO,"WeWork is set to get $6 billion via a $2 billion letter-of-credit and a $4 billion delayed-draw term loan if it raises at least $3 billion in its Initial Public Offering (IPO), Bloomberg reported. The co-working space startup had confidentially filed for IPO in April. American investment bank JPMorgan Chase is reportedly set to lead the IPO.",Inc42,https://inc42.com/buzz/wework-puts-ipo-success-on-line-to-secure-6-bn-funding-for-expansion/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6991,Order issued to cancel expelled BJP MLA Sengar's arms licence,"Unnao District Magistrate Devendra Kumar Pandey has ordered the cancellation of expelled BJP lawmaker Kuldeep Singh Sengar's arms licence. Sengar has been accused of raping a woman in Unnao. He reportedly had a single barrel gun, a revolver and a rifle, all of which have been confiscated.",ANI,https://www.aninews.in/news/national/general-news/unnao-dm-issues-order-to-cancel-arms-licenses-of-expelled-bjp-mla-kuldeep-sengar20190803101358/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6992,Unnao truck owner says he blackened plates as he was behind on EMIs,"The owner of the truck, which was involved in Unnao rape survivor's accident, has claimed that he blackened the number plates to avoid forcible seizure of the vehicle as he was behind on his EMIs. However, the agents of the Kanpur-based finance company that financed the truck said the company had never threatened the truck owner to seize the vehicle.",Hindustan Times,https://www.hindustantimes.com/india-news/on-blackened-unnao-truck-number-plate-vehicle-owner-s-disclosure/story-JaweIgzVPW7VGjUTkcBwyO.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6994,Zero chance: Michelle Obama on running for US President,"Former US First Lady Michelle Obama has said that there's ""zero chance"" that she'll run for US President. ""There are so many ways to improve this country and build a better world, and I keep doing plenty of them...But sitting behind the desk in the Oval Office will never be one of them. It's just not for me,"" she added.",The New Indian Express,http://www.newindianexpress.com/world/2019/aug/03/will-michelle-obama-consider-running-for-us-president-heres-her-answer-2013602.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6996,3 killed as cliff collapses onto beach in California,"At least three people were killed after a sandstone cliff collapsed onto a beach in California, US, on Friday. Authorities said pieces of the cliff were known to fall off and beachgoers were warned to sit at some distance away. Sniffer dogs were used to search through the debris to ensure that no additional victims were underneath.",The Guardian,https://www.theguardian.com/us-news/2019/aug/03/three-dead-after-cliff-collapses-on-to-a-beach-in-southern-california?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
6998,BCCI's CoA stops release of funds to Bihar Cricket Association,"The Supreme Court-appointed Committee of Administrators (CoA) has stopped all monetary benefits to the Bihar Cricket Association (BCA). The move was taken after the CoA received repeated emails from the two factions in the Bihar Cricket Association. ""[I]t is not possible for the Committee of Administrators to prefer the requests/statements seemingly made by one faction over the other,"" CoA wrote.",Cricket Country,https://www.cricketcountry.com/news/bccis-coa-stops-release-of-funds-to-bihar-cricket-association-875172?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7000,Give security instead of asking pilgrims to run: Cong to J&K govt,"Congress on Saturday targeted Jammu and Kashmir government for asking tourists and Amarnath pilgrims to curtail their stay amid terror threats. ""Government should have provided security...rather than asking them to cut and run,"" Congress' Manish Tewari said. ""J&K facing Pakistan sponsored Militancy since...1947. Worst period (was) 1990...(India never surrendered) to Pakistan like today,"" he added.",ANI,https://www.aninews.in/news/national/general-news/instead-of-providing-security-govt-asking-amarnath-pilgrims-tourists-to-cut-trip-and-run-congress20190803131547/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7001,Don't believe rumours: J&K Guv to leaders amid Amarnath advisory,"Jammu and Kashmir Governor Satya Pal Malik on Friday met political leaders, asking them to maintain calm and not believe rumours following the government advisory for Amarnath Yatris to leave amid terror attack reports. Earlier, politicians in the state had expressed concern over the decision on Article 35A which grants Jammu and Kashmir residents rights to government jobs and land.",India.com,https://www.india.com/news/india/maintain-calm-avoid-rumours-governor-tells-kashmir-politicians-as-curtailment-of-amarnath-yatra-spreads-panic-in-valley-3735121/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
